epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4053.54,0.51631,0.21488,0.97313,0.9951,0.9933,0.99497,0.92813,0.34807,0.12207,0.89139,0.000957358,0.000957358,0.000957358
88,4117.58,0.52778,0.21772,0.98064,0.99818,0.99425,0.99497,0.92899,0.33795,0.13396,0.88398,0.000949106,0.000949106,0.000949106
89,4181.33,0.51154,0.2232,0.97033,0.99548,0.99713,0.995,0.93632,0.33939,0.11353,0.88588,0.000940855,0.000940855,0.000940855
90,4242.97,0.5229,0.22273,0.977,0.99687,0.99358,0.995,0.9358,0.32712,0.13067,0.87946,0.000932603,0.000932603,0.000932603
91,4306.91,0.51534,0.21405,0.9738,0.998,0.99646,0.995,0.92882,0.33221,0.10125,0.88875,0.000924352,0.000924352,0.000924352
92,4369.64,0.5168,0.21869,0.97706,0.99795,0.99003,0.99496,0.93648,0.33079,0.13112,0.88384,0.0009161,0.0009161,0.0009161
93,4433.1,0.51386,0.21921,0.97211,0.99403,0.99288,0.99496,0.93864,0.31595,0.13816,0.87537,0.000907848,0.000907848,0.000907848
94,4496.05,0.49158,0.21371,0.96153,0.99954,0.99713,0.995,0.93652,0.31287,0.1138,0.87787,0.000899597,0.000899597,0.000899597
95,4558.84,0.50378,0.20941,0.97316,0.99647,0.99576,0.995,0.92639,0.34942,0.13745,0.8906,0.000891345,0.000891345,0.000891345
96,4621.83,0.51092,0.20996,0.97077,0.99824,0.98783,0.99494,0.93149,0.31795,0.1253,0.88526,0.000883093,0.000883093,0.000883093
97,4684.43,0.50622,0.22148,0.97859,0.99665,0.99677,0.99497,0.93013,0.34044,0.13,0.88843,0.000874842,0.000874842,0.000874842
98,4746.96,0.50308,0.21689,0.97228,0.99908,0.99572,0.995,0.93028,0.33956,0.12236,0.88767,0.00086659,0.00086659,0.00086659
99,4810.09,0.50333,0.21396,0.96635,0.99586,0.99684,0.99496,0.92845,0.32638,0.10835,0.88387,0.000858338,0.000858338,0.000858338
100,4872.79,0.49807,0.20671,0.96551,0.99633,0.99355,0.99493,0.93283,0.32805,0.13446,0.88535,0.000850087,0.000850087,0.000850087
101,4936.42,0.49474,0.21113,0.9591,0.99811,0.99274,0.995,0.93113,0.3235,0.12298,0.88363,0.000841835,0.000841835,0.000841835
102,4998.93,0.48752,0.20417,0.95579,0.9996,0.99713,0.995,0.93166,0.33332,0.11739,0.89255,0.000833583,0.000833583,0.000833583
103,5062.67,0.49055,0.20676,0.96513,0.99967,0.99713,0.995,0.93218,0.32633,0.09872,0.88429,0.000825332,0.000825332,0.000825332
104,5125.41,0.47906,0.20106,0.95373,0.99368,0.99677,0.99494,0.93094,0.33386,0.11846,0.88876,0.00081708,0.00081708,0.00081708
105,5187.82,0.49095,0.20143,0.96146,0.99162,0.99713,0.99497,0.92755,0.3303,0.15019,0.88579,0.000808828,0.000808828,0.000808828
106,5250.6,0.47401,0.18944,0.95146,0.99631,0.99647,0.995,0.93058,0.3234,0.12987,0.88259,0.000800577,0.000800577,0.000800577
107,5314.06,0.49257,0.20296,0.95958,0.99547,0.99713,0.99497,0.93347,0.33006,0.10931,0.88686,0.000792325,0.000792325,0.000792325
108,5376.78,0.48811,0.20332,0.9526,0.99432,0.98667,0.99491,0.93344,0.32376,0.11758,0.8839,0.000784073,0.000784073,0.000784073
109,5439.13,0.47733,0.19945,0.95206,0.99704,0.99003,0.99496,0.93075,0.31737,0.13275,0.88422,0.000775822,0.000775822,0.000775822
110,5502.44,0.47335,0.19884,0.94748,0.99671,0.99713,0.995,0.92761,0.33623,0.13154,0.89297,0.00076757,0.00076757,0.00076757
111,5564.91,0.47999,0.20249,0.95108,0.99465,0.99713,0.99497,0.93046,0.33636,0.11262,0.90133,0.000759318,0.000759318,0.000759318
112,5627.64,0.47016,0.20176,0.94364,0.99505,0.99654,0.99497,0.92968,0.32448,0.13231,0.88841,0.000751067,0.000751067,0.000751067
113,5691.13,0.45905,0.18657,0.94201,0.99592,0.99661,0.99493,0.93252,0.32094,0.12057,0.88758,0.000742815,0.000742815,0.000742815
114,5753.27,0.46708,0.19531,0.94675,0.99566,0.99281,0.995,0.93173,0.31263,0.12809,0.87814,0.000734564,0.000734564,0.000734564
115,5815.02,0.46343,0.208,0.94606,0.99034,0.99098,0.99487,0.93046,0.31317,0.12689,0.88252,0.000726312,0.000726312,0.000726312
116,5878.79,0.46012,0.20105,0.94478,0.99174,0.99321,0.99493,0.92825,0.32144,0.13466,0.88291,0.00071806,0.00071806,0.00071806
117,5941.86,0.45449,0.19413,0.93894,0.99659,0.99713,0.995,0.93226,0.31573,0.09745,0.8806,0.000709809,0.000709809,0.000709809
118,6005.39,0.46113,0.19502,0.95178,0.99473,0.99657,0.995,0.93035,0.31371,0.1022,0.88392,0.000701557,0.000701557,0.000701557
119,6067.79,0.45271,0.1852,0.94413,0.99241,0.99138,0.99472,0.93163,0.32395,0.11309,0.88656,0.000693305,0.000693305,0.000693305
120,6130.57,0.45695,0.20121,0.94056,0.98986,0.99509,0.99494,0.93519,0.31041,0.13071,0.88303,0.000685054,0.000685054,0.000685054
121,6193.16,0.45003,0.19141,0.9383,0.9947,0.99713,0.995,0.93185,0.31946,0.11999,0.8877,0.000676802,0.000676802,0.000676802
122,6256.68,0.44771,0.19164,0.93284,0.99677,0.99066,0.99491,0.93238,0.31743,0.13003,0.8864,0.00066855,0.00066855,0.00066855
123,6319.12,0.43554,0.17701,0.9347,0.99669,0.99713,0.99497,0.9293,0.32712,0.13238,0.89233,0.000660299,0.000660299,0.000660299
124,6382.34,0.44091,0.18759,0.93705,0.99689,0.99683,0.995,0.92893,0.31777,0.13223,0.88566,0.000652047,0.000652047,0.000652047
125,6445.1,0.44305,0.18982,0.94006,0.99732,0.99425,0.99497,0.92964,0.32086,0.12435,0.88989,0.000643795,0.000643795,0.000643795
126,6508.39,0.44538,0.18547,0.93472,0.99955,0.99279,0.995,0.92849,0.32365,0.12448,0.89042,0.000635544,0.000635544,0.000635544
127,6571.69,0.4353,0.18778,0.93587,0.99593,0.99713,0.99496,0.92346,0.32064,0.13061,0.88908,0.000627292,0.000627292,0.000627292
128,6634.84,0.43884,0.19406,0.92839,0.99906,0.99358,0.995,0.93738,0.31132,0.12392,0.88021,0.00061904,0.00061904,0.00061904
129,6697.46,0.43239,0.18781,0.93194,0.99521,0.99677,0.99497,0.93199,0.30665,0.12223,0.88245,0.000610789,0.000610789,0.000610789
130,6759.9,0.43008,0.17661,0.9274,0.99712,0.99549,0.99497,0.93196,0.31249,0.12927,0.88384,0.000602537,0.000602537,0.000602537
131,6822.82,0.42347,0.18415,0.92808,0.99335,0.99358,0.99494,0.93276,0.31272,0.12789,0.88458,0.000594286,0.000594286,0.000594286
132,6885.46,0.42621,0.17998,0.93631,0.99641,0.99655,0.99497,0.93898,0.30881,0.12314,0.88,0.000586034,0.000586034,0.000586034
133,6950.87,0.43025,0.18475,0.93274,0.98655,0.993,0.99479,0.92624,0.32542,0.14508,0.89129,0.000577782,0.000577782,0.000577782
134,7014.39,0.43188,0.18005,0.93451,0.99711,0.99328,0.99494,0.93407,0.30849,0.10119,0.88224,0.000569531,0.000569531,0.000569531
135,7077.17,0.4172,0.1815,0.92067,0.99321,0.99357,0.99491,0.93197,0.31139,0.13261,0.88214,0.000561279,0.000561279,0.000561279
136,7140.94,0.41516,0.17699,0.92341,0.99604,0.99425,0.99486,0.92838,0.31745,0.10739,0.89081,0.000553027,0.000553027,0.000553027
137,7204.52,0.42496,0.18828,0.92402,0.99618,0.99311,0.99497,0.92753,0.32586,0.132,0.89652,0.000544776,0.000544776,0.000544776
138,7268.01,0.42545,0.17722,0.93118,0.99446,0.99354,0.99491,0.92818,0.31576,0.10454,0.8883,0.000536524,0.000536524,0.000536524
139,7330.19,0.42553,0.18624,0.92766,0.98974,0.99671,0.99494,0.92739,0.31614,0.10445,0.88644,0.000528272,0.000528272,0.000528272
140,7394.05,0.41704,0.17909,0.92,0.99411,0.9954,0.99361,0.92527,0.31196,0.13326,0.88815,0.000520021,0.000520021,0.000520021
141,7456.67,0.40738,0.17676,0.91848,0.99785,0.99425,0.99497,0.92772,0.30718,0.12705,0.8862,0.000511769,0.000511769,0.000511769
142,7520.11,0.41254,0.18036,0.9242,0.99603,0.98931,0.99491,0.93047,0.30704,0.13133,0.8899,0.000503517,0.000503517,0.000503517
143,7582.85,0.40066,0.17193,0.91631,0.99896,0.99631,0.995,0.92861,0.31368,0.12409,0.89329,0.000495266,0.000495266,0.000495266
144,7641.32,0.399,0.16768,0.912,0.99615,0.99713,0.99497,0.93051,0.31362,0.11844,0.89031,0.000487014,0.000487014,0.000487014
145,86.5965,0.40146,0.16627,0.91352,0.99629,0.99713,0.99497,0.93157,0.31068,0.11551,0.88765,0.000478762,0.000478762,0.000478762
146,150.32,0.3973,0.17095,0.90821,0.99876,0.99713,0.995,0.9269,0.32614,0.11894,0.89858,0.000470511,0.000470511,0.000470511
147,216.376,0.40604,0.17207,0.91786,0.99687,0.9962,0.99497,0.92497,0.33269,0.12537,0.9003,0.000462259,0.000462259,0.000462259
148,282.034,0.39555,0.17084,0.91285,0.996,0.99668,0.995,0.92987,0.31366,0.1187,0.88969,0.000454007,0.000454007,0.000454007
149,346.757,0.40091,0.17579,0.91692,0.99626,0.99673,0.99497,0.93114,0.31678,0.12271,0.89238,0.000445756,0.000445756,0.000445756
150,412.732,0.39727,0.17002,0.91634,0.99295,0.99713,0.99497,0.92943,0.31226,0.12754,0.89252,0.000437504,0.000437504,0.000437504
151,478.1,0.38982,0.17459,0.90958,0.99611,0.99667,0.99494,0.92929,0.31593,0.12851,0.8932,0.000429253,0.000429253,0.000429253
152,543.074,0.39289,0.16701,0.91408,0.99927,0.99657,0.995,0.92957,0.31967,0.12367,0.89524,0.000421001,0.000421001,0.000421001
153,608.39,0.38042,0.16407,0.90276,0.99623,0.99399,0.99497,0.92942,0.31227,0.12422,0.88852,0.000412749,0.000412749,0.000412749
154,673.035,0.37899,0.16345,0.90938,0.99827,0.99683,0.995,0.92685,0.31836,0.12181,0.89362,0.000404498,0.000404498,0.000404498
155,738.589,0.38512,0.16544,0.9068,0.99842,0.99713,0.995,0.92958,0.31553,0.1194,0.89167,0.000396246,0.000396246,0.000396246
156,804.204,0.38394,0.16221,0.90661,0.99265,0.99649,0.99494,0.92799,0.31485,0.12317,0.89113,0.000387994,0.000387994,0.000387994
157,869.605,0.38132,0.15756,0.90511,0.9958,0.99668,0.99497,0.92454,0.32462,0.12461,0.89889,0.000379743,0.000379743,0.000379743
