epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
67,4427.87,0.08572,0.22406,0.04922,0.90519,0.98589,0.98373,0.96768,0.04095,0.15171,0.02332,0.000577782,0.000577782,0.000577782
68,4494.91,0.08153,0.21573,0.04308,0.91614,0.97189,0.98342,0.96811,0.04079,0.16098,0.02327,0.000561279,0.000561279,0.000561279
69,4562.18,0.07674,0.20586,0.04218,0.89994,0.98934,0.98265,0.96575,0.04074,0.15004,0.02343,0.000544776,0.000544776,0.000544776
70,4627.81,0.08209,0.22,0.04562,0.92736,0.96232,0.98506,0.9681,0.04054,0.14655,0.02325,0.000528272,0.000528272,0.000528272
71,4693.79,0.07487,0.21829,0.04072,0.89326,0.98734,0.97011,0.95213,0.04085,0.17828,0.02296,0.000511769,0.000511769,0.000511769
72,4760.03,0.07757,0.22156,0.04518,0.91094,0.96177,0.97797,0.96156,0.04097,0.16448,0.02336,0.000495266,0.000495266,0.000495266
73,4826.01,0.07511,0.21319,0.04343,0.9231,0.96855,0.98223,0.96465,0.04047,0.15377,0.02279,0.000478762,0.000478762,0.000478762
74,4891.57,0.07537,0.21244,0.04039,0.91138,0.99059,0.98465,0.96736,0.0403,0.14442,0.02257,0.000462259,0.000462259,0.000462259
75,4957.15,0.07925,0.22446,0.0439,0.93108,0.97267,0.98365,0.96712,0.04001,0.15157,0.0228,0.000445756,0.000445756,0.000445756
76,5023.14,0.07817,0.20588,0.0437,0.90753,0.99082,0.98579,0.96822,0.0404,0.14211,0.02279,0.000429253,0.000429253,0.000429253
77,5089.4,0.07255,0.20887,0.04203,0.92362,0.9623,0.98439,0.96745,0.04064,0.15444,0.02284,0.000412749,0.000412749,0.000412749
78,5154.59,0.07176,0.20321,0.03901,0.90501,0.98488,0.98321,0.96536,0.04036,0.1555,0.02297,0.000396246,0.000396246,0.000396246
79,5219.85,0.07039,0.19908,0.04184,0.90291,0.98635,0.98225,0.96363,0.04064,0.15315,0.02315,0.000379743,0.000379743,0.000379743
80,5285.88,0.07371,0.20159,0.04144,0.89744,0.99415,0.98396,0.9665,0.03973,0.15151,0.02222,0.000363239,0.000363239,0.000363239
81,5351.53,0.07718,0.20098,0.04372,0.90051,0.99098,0.98278,0.96738,0.0399,0.15513,0.02242,0.000346736,0.000346736,0.000346736
82,5416.27,0.07499,0.20286,0.04082,0.91085,0.9742,0.98411,0.96812,0.03972,0.14598,0.02235,0.000330233,0.000330233,0.000330233
83,5481.61,0.06858,0.19262,0.03869,0.9073,0.99382,0.98351,0.96812,0.0387,0.1425,0.02162,0.000313729,0.000313729,0.000313729
84,5546.21,0.07061,0.19383,0.03983,0.8948,0.99708,0.98296,0.96688,0.0394,0.14504,0.02208,0.000297226,0.000297226,0.000297226
85,5611.01,0.07207,0.20233,0.0388,0.89999,0.99103,0.98224,0.96642,0.03848,0.14555,0.02183,0.000280723,0.000280723,0.000280723
86,5676.04,0.07166,0.20478,0.0425,0.90536,0.99155,0.98526,0.96778,0.03948,0.14167,0.02236,0.00026422,0.00026422,0.00026422
87,5740.92,0.06846,0.1892,0.03839,0.90325,0.99513,0.98591,0.96947,0.0394,0.13786,0.02238,0.000247716,0.000247716,0.000247716
88,5806.71,0.07319,0.20086,0.04119,0.89671,0.99708,0.98421,0.96744,0.03885,0.1399,0.02219,0.000231213,0.000231213,0.000231213
89,5871.78,0.07237,0.2011,0.04207,0.89887,0.9965,0.98487,0.96795,0.03858,0.13803,0.02178,0.00021471,0.00021471,0.00021471
90,5936.98,0.07315,0.19541,0.04276,0.92714,0.96573,0.98426,0.96993,0.03774,0.14202,0.02131,0.000198206,0.000198206,0.000198206
91,6027.79,0.03659,0.14221,0.0224,0.89842,0.99708,0.98433,0.96638,0.03807,0.13788,0.02177,0.000181703,0.000181703,0.000181703
92,6099.36,0.03602,0.13678,0.02218,0.89927,0.99708,0.98535,0.96937,0.03737,0.13361,0.02127,0.0001652,0.0001652,0.0001652
93,6170.82,0.03526,0.1333,0.02092,0.9148,0.97472,0.98466,0.96958,0.0378,0.13975,0.02122,0.000148696,0.000148696,0.000148696
94,6242.24,0.03434,0.13485,0.02137,0.9035,0.98448,0.97637,0.96054,nan,nan,nan,0.000132193,0.000132193,0.000132193
95,6311.88,0.0342,0.13241,0.02077,0.89893,0.98538,0.97477,0.9589,nan,nan,nan,0.00011569,0.00011569,0.00011569
96,6378.71,0.03447,0.13035,0.02071,0.90801,0.98734,0.98053,0.9647,nan,nan,nan,9.91865e-05,9.91865e-05,9.91865e-05
97,6444.85,0.03416,0.1284,0.02052,0.91841,0.97498,0.97789,0.96241,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
98,6510.33,0.03534,0.12404,0.02107,0.91796,0.97869,0.97983,0.96494,nan,nan,nan,6.61799e-05,6.61799e-05,6.61799e-05
99,6575.78,0.03239,0.12649,0.02011,0.91089,0.97611,0.97817,0.9628,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
100,6641.52,0.03268,0.12339,0.01958,0.90399,0.9883,0.98008,0.96515,nan,nan,nan,3.31733e-05,3.31733e-05,3.31733e-05
