epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,41434.4,0.28045,0.28846,0.86021,0,0,0,0,nan,nan,nan,0.000819831,0.000819831,0.000819831
79,41549.4,0.28424,0.28732,0.87042,0,0,0,0,nan,nan,nan,0.000808828,0.000808828,0.000808828
80,41664.1,0.28991,0.29891,0.87306,0,0,0,0,nan,nan,nan,0.000797826,0.000797826,0.000797826
81,41779.3,0.28965,0.29883,0.87194,0,0,0,0,nan,nan,nan,0.000786824,0.000786824,0.000786824
82,41894.5,0.28568,0.30384,0.86832,0,0,0,0,nan,nan,nan,0.000775822,0.000775822,0.000775822
83,42009.2,0.28537,0.29145,0.86569,0,0,0,0,nan,nan,nan,0.00076482,0.00076482,0.00076482
84,42124.4,0.28496,0.29412,0.86979,0,0,0,0,nan,nan,nan,0.000753817,0.000753817,0.000753817
85,42239.6,0.27948,0.29659,0.86279,0,0,0,0,nan,nan,nan,0.000742815,0.000742815,0.000742815
86,42354.5,0.28422,0.29655,0.86806,0,0,0,0,nan,nan,nan,0.000731813,0.000731813,0.000731813
87,42469.5,0.27877,0.29698,0.86673,0,0,0,0,nan,nan,nan,0.000720811,0.000720811,0.000720811
88,42584.5,0.2791,0.2938,0.86535,0,0,0,0,nan,nan,nan,0.000709809,0.000709809,0.000709809
89,42699.4,0.28073,0.29963,0.86934,0,0,0,0,nan,nan,nan,0.000698806,0.000698806,0.000698806
90,42814.4,0.28549,0.30674,0.87855,0,0,0,0,nan,nan,nan,0.000687804,0.000687804,0.000687804
91,42929.6,0.28018,0.28587,0.86615,0,0,0,0,nan,nan,nan,0.000676802,0.000676802,0.000676802
92,43044.5,0.27219,0.29022,0.86025,0,0,0,0,nan,nan,nan,0.0006658,0.0006658,0.0006658
93,43159.7,0.2716,0.28125,0.86633,0,0,0,0,nan,nan,nan,0.000654798,0.000654798,0.000654798
94,43274.6,0.27689,0.28342,0.86396,0,0,0,0,nan,nan,nan,0.000643795,0.000643795,0.000643795
95,43389.6,0.26824,0.28882,0.85683,0,0,0,0,nan,nan,nan,0.000632793,0.000632793,0.000632793
96,43504.6,0.26986,0.2859,0.86774,0,0,0,0,nan,nan,nan,0.000621791,0.000621791,0.000621791
97,43619.5,0.28151,0.28017,0.86513,0,0,0,0,nan,nan,nan,0.000610789,0.000610789,0.000610789
98,43734.1,0.26725,0.27915,0.85563,0,0,0,0,nan,nan,nan,0.000599787,0.000599787,0.000599787
99,43849.3,0.26879,0.27666,0.86443,0,0,0,0,nan,nan,nan,0.000588784,0.000588784,0.000588784
100,43964.2,0.26044,0.28436,0.85979,0,0,0,0,nan,nan,nan,0.000577782,0.000577782,0.000577782
101,44079.2,0.27043,0.27945,0.86243,0,0,0,0,nan,nan,nan,0.00056678,0.00056678,0.00056678
102,44194,0.26162,0.26681,0.86599,0,0,0,0,nan,nan,nan,0.000555778,0.000555778,0.000555778
103,44308.9,0.26154,0.28368,0.86066,0,0,0,0,nan,nan,nan,0.000544776,0.000544776,0.000544776
104,44423.9,0.2635,0.26875,0.86259,0,0,0,0,nan,nan,nan,0.000533773,0.000533773,0.000533773
105,44538.9,0.25996,0.28321,0.85968,0,0,0,0,nan,nan,nan,0.000522771,0.000522771,0.000522771
106,44653.8,0.25246,0.26827,0.84884,0,0,0,0,nan,nan,nan,0.000511769,0.000511769,0.000511769
